Date,Close/Last,Volume,Open,High,Low
12/31/2025,681.92,74144800,687.14,687.36,681.71
12/30/2025,687.01,47160670,687.445,688.555,686.58
12/29/2025,687.85,62559500,687.54,689.2,686.07
12/26/2025,690.31,41613350,690.64,691.66,689.27
12/24/2025,690.38,39445560,687.95,690.83,687.8
12/23/2025,687.96,64839950,683.92,688.2,683.87
12/22/2025,684.83,69556730,683.94,685.36,680.5868
12/19/2025,680.59,103599500,676.59,681.09,676.47
12/18/2025,676.47,108650100,677.6,680.74,674.9
12/17/2025,671.4,110625200,679.89,680.435,671.195
12/16/2025,678.87,122030600,679.23,681.08,674.98
12/15/2025,680.73,90810950,685.74,685.76,679.25
12/12/2025,681.76,113160300,688.17,688.88,679.1744
12/11/2025,689.17,86173680,685.14,689.25,682.165
12/10/2025,687.57,85671330,682.56,688.97,681.31
12/9/2025,683.04,58310060,683.15,685.385,682.59
12/8/2025,683.63,55231460,686.59,686.64,681.57
12/5/2025,685.69,79241050,685.47,688.39,684.58
12/4/2025,684.39,61970340,685.3,685.37,681.34
12/3/2025,683.89,57238480,680.57,684.91,679.69
12/2/2025,681.53,62953840,681.92,683.82,679.3275
12/1/2025,680.27,61201190,678.81,682.99,678.74
11/28/2025,683.39,49212030,680.86,683.665,680.5
11/26/2025,679.68,71879600,677.63,681.7,676.72
11/25/2025,675.02,81077090,668.63,676.21,664.48
11/24/2025,668.73,80437940,662.69,670.06,661.59
11/21/2025,659.03,123956200,655.05,664.55,650.85
11/20/2025,652.53,165293500,672.91,675.56,651.89
11/19/2025,662.63,94702960,660.78,667.34,658.745
11/18/2025,660.08,114467500,662.095,665.12,655.86
11/17/2025,665.67,90456110,669.7,673.71,662.17
11/14/2025,671.93,96846670,665.38,675.66,663.265
11/13/2025,672.04,103457800,680.5,680.86,670.52
11/12/2025,683.38,62312480,684.79,684.96,680.945
11/11/2025,683,58953390,679.95,683.57,678.73
11/10/2025,681.44,75842890,677.235,682.18,675.03
11/7/2025,670.97,100592400,667.91,671.08,661.205
11/6/2025,670.31,85035300,676.47,677.38,668.72
11/5/2025,677.58,74402380,674.98,680.86,674.17
11/4/2025,675.24,78426970,676.11,679.96,674.58
11/3/2025,683.34,57315030,685.67,685.8,679.94
10/31/2025,682.06,87164120,685.04,685.08,679.24
10/30/2025,679.83,76335750,683.9,685.94,679.83
10/29/2025,687.39,85362210,688.72,689.7,682.87
10/28/2025,687.06,61738070,687.05,688.905,684.83
10/27/2025,685.24,63339790,682.73,685.54,682.115
10/24/2025,677.25,74356530,676.46,678.47,675.65
10/23/2025,671.76,65604460,668.12,672.7101,667.8
10/22/2025,667.8,80564010,672,672,663.3
10/21/2025,671.29,56249030,671.44,672.99,669.981
10/20/2025,671.3,60493350,667.32,672.21,667.27
10/17/2025,664.39,96500870,659.5,665.755,658.14
10/16/2025,660.64,110563300,666.82,668.71,657.11
10/15/2025,665.17,81702560,666.82,670.23,658.93
10/14/2025,662.23,88779560,657.17,665.83,653.17
10/13/2025,663.04,79560520,660.65,665.13,659.7679
10/10/2025,653.02,159422600,672.13,673.95,652.84
10/9/2025,671.16,66501940,673.53,673.94,669.21
10/8/2025,673.11,60702240,670.25,673.2056,669.42
10/7/2025,669.12,72020070,672.54,672.99,667.67
10/6/2025,671.61,54623260,671.62,672.51,669.455
10/3/2025,669.21,70494350,669.99,672.675,668.16
10/2/2025,669.22,56895990,670.45,670.565,666.78
10/1/2025,668.45,72545370,663.17,669.37,663.06
09/30/2025,666.18,86288030,662.93,666.65,661.61
09/29/2025,663.68,73499020,664.36,665.28,661.86
09/26/2025,661.82,69179210,659.51,662.37,657.88
09/25/2025,658.05,89622070,657.94,659.4056,654.405
09/24/2025,661.1,68082230,664.51,664.61,659.67
09/23/2025,663.21,81708870,666.72,667.34,661.98
09/22/2025,666.84,69452200,662.2,667.29,662.17
09/19/2025,663.7,97945620,662.33,664.55,660.37
09/18/2025,662.26,90459240,661.89,664.89,660.27
09/17/2025,659.18,101952200,660.01,661.72,654.3
09/16/2025,660,61168950,661.47,661.78,659.21
09/15/2025,660.91,63772410,659.64,661.04,659.34
9/12/2025,657.41,72780140,657.6,659.11,656.9
9/11/2025,657.63,69934360,654.18,658.33,653.59
9/10/2025,652.21,78034530,653.62,654.55,650.63
9/9/2025,650.33,66133860,648.97,650.86,647.22
9/8/2025,648.83,63133100,648.62,649.84,647.23
9/5/2025,647.24,85178940,651.48,652.21,643.33
9/4/2025,649.12,65219230,644.42,649.15,643.51
9/3/2025,643.74,70820900,642.67,644.21,640.46
9/2/2025,640.27,81983550,637.5,640.49,634.92
08/29/2025,645.05,74522190,647.47,647.84,643.14
