S,K,sigma,T,r,price,vega,theta,rho
100.0,100.0,0.05,0.05,0.0,0.4460287059708108,8.92048119715622,-4.46024059857811,2.48884928235073
100.0,100.0,0.05,0.05,0.02,0.4975628280179407,8.880429216313606,-5.505974648145465,2.6644000999716515
100.0,100.0,0.05,0.05,0.04,0.5525934916867783,8.770114752888595,-6.655672915487152,2.838269423803567
100.0,100.0,0.05,0.05,0.06,0.6110731836102659,8.592157692484424,-7.90697229436245,3.0090778734335313
100.0,100.0,0.05,0.05,0.08,0.6729274465790951,8.350737772990986,-9.256193904577977,3.1755156363015513
100.0,100.0,0.05,0.05,0.1,0.738056572129878,8.051431413835024,-10.69845978985169,3.3363720414670883
100.0,100.0,0.05,0.26666666666666666,0.0,1.0300359265399663,20.599574071869167,-1.9312100692377352,13.195995209794672
100.0,100.0,0.05,0.26666666666666666,0.02,1.315090082976866,20.11106979346542,-3.0328263096859844,15.29884688731468
100.0,100.0,0.05,0.26666666666666666,0.04,1.641272324477356,18.81404626824527,-4.357991303081398,17.294496436222694
100.0,100.0,0.05,0.26666666666666666,0.06,2.005631692804826,16.865504792947117,-5.87979358529782,19.105122270929016
100.0,100.0,0.05,0.26666666666666666,0.08,2.403858489899477,14.48727096592482,-7.56032431101643,20.673808859869922
100.0,100.0,0.05,0.26666666666666666,0.1,2.8307560784088253,11.924602856626175,-9.356370804473382,21.96917143110581
100.0,100.0,0.05,0.48333333333333334,0.0,1.386697009065557,27.731147640092413,-1.4343697055220215,23.83154822280916
100.0,100.0,0.05,0.48333333333333334,0.02,1.9140456083245283,26.550703512927363,-2.567395906544659,28.85702168367005
100.0,100.0,0.05,0.48333333333333334,0.04,2.537885767415304,23.528746094447932,-3.9829547630311932,33.42190374426363
100.0,100.0,0.05,0.48333333333333334,0.06,3.2458627271416844,19.299057200428805,-5.6202446800916155,37.23291942278157
100.0,100.0,0.05,0.48333333333333334,0.08,4.021145912229983,14.651698173115708,-7.401803847435381,40.140575899156765
100.0,100.0,0.05,0.48333333333333334,0.1,4.845434527061542,10.295664781820998,-9.252075149477546,42.14444702701957
100.0,100.0,0.05,0.7000000000000001,0.0,1.6687736122347516,33.3706052722434,-1.1918073311515502,34.41592923571783
100.0,100.0,0.05,0.7000000000000001,0.02,2.4442262669085224,31.333112033429124,-2.3480004494025657,43.0136256873034
100.0,100.0,0.05,0.7000000000000001,0.04,3.3817103675488056,26.30280087901021,-3.8240364720268865,50.48138771108913
100.0,100.0,0.05,0.7000000000000001,0.06,4.451679009976544,19.74056056096311,-5.521700234811565,56.19460250573363
100.0,100.0,0.05,0.7000000000000001,0.08,5.616549466764212,13.245732575910813,-7.327876993300345,59.97963226140588
100.0,100.0,0.05,0.7000000000000001,0.1,6.839417297210105,7.946053821790672,-9.14874419994716,62.05469594418245
100.0,100.0,0.05,0.9166666666666667,0.0,1.9096084256091572,38.184875426029045,-1.0414056934371558,44.958096138262476
100.0,100.0,0.05,0.9166666666666667,0.02,2.937641689426144,35.161070045424765,-2.2161087936740365,57.62031548661239
100.0,100.0,0.05,0.9166666666666667,0.04,4.199863845437548,27.959941897027292,-3.7353505316882263,68.12681933221313
100.0,100.0,0.05,0.9166666666666667,0.06,5.6412978360970385,19.200561165093987,-5.462603750718373,75.45621237274153
100.0,100.0,0.05,0.9166666666666667,0.08,7.196586219960082,11.38662596741102,-7.2558129395882505,79.58120265129944
100.0,100.0,0.05,0.9166666666666667,0.1,8.807695893546764,5.831491731753147,-9.015636457775182,81.1854612633342
100.0,100.0,0.05,1.1333333333333335,0.0,2.12328177902166,42.455609918957876,-0.9365208070358354,55.4634736585544
100.0,100.0,0.05,1.1333333333333335,0.02,3.4075481978964604,38.338670390945246,-2.126608042314275,72.58445107579402
100.0,100.0,0.05,1.1333333333333335,0.04,5.002530927623184,28.87931873564526,-3.6773585166859712,86.14225042965758
100.0,100.0,0.05,1.1333333333333335,0.06,6.81956524562699,18.146161624353056,-5.414522956430471,94.71342183353958
100.0,100.0,0.05,1.1333333333333335,0.08,8.760042863404479,9.511095434742137,-7.1744394546158174,98.66567495036719
